Attack,DP_SSIM,LSSP_SSIM,DP_FID,LSSP_FID,DP_Rec%,LSSP_Rec%
FGSM,0.6799,0.6451,121.52,129.76,7.1,-3.0
PGD,0.4532,0.5261,246.72,193.78,11.5,23.3
PhotoGuard,0.4550,0.5260,285.69,213.04,6.3,18.5
C&W,0.5824,0.6332,161.52,127.90,7.6,18.8
