Attack,SSIM,ASR%,FID,Pert_Linf,Pert_L2
FGSM,0.6556,52.0,117.19,0.0630,35.82
PGD,0.3824,100.0,248.92,0.0630,40.63
PhotoGuard,0.4186,100.0,317.05,0.1256,69.30
C&W,0.5481,98.0,162.86,0.1971,16.77
